"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_Lower Range"
"07/09/2024 11:55:26:676 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"92","false","50","false","200","40","50","true","0","116","true","42","500","34","2","32","0","32","2"
"120","false","50","false","200","40","50","true","0","120","true","49","500","0","0","0","0","0","0"
"94","false","50","false","200","40","50","true","0","116","true","46","500","0","0","0","0","0","0"
"93","false","50","false","200","40","50","true","0","116","true","44","500","37","2","35","0","35","2"
"113","false","50","false","200","40","50","true","0","119","true","48","371","50","2","48","0","48","2"
"117","false","50","false","200","40","50","true","0","120","true","44","500","46","2","44","0","44","2"
"116","false","50","false","200","40","50","true","0","120","true","42","500","43","3","40","0","40","3"
"104","false","50","false","200","40","50","true","0","118","true","42","500","40","4","38","2","38","2"
"96","false","50","false","200","40","50","true","0","116","true","49","500","0","0","0","0","0","0"
"105","false","50","false","200","40","50","true","0","118","true","44","500","42","4","40","2","40","2"
"95","false","50","false","200","40","50","true","0","116","true","48","500","0","0","0","0","0","0"
"127","false","50","false","200","40","50","true","0","122","true","30","500","44","19","30","5","30","14"
"77","false","50","false","200","40","50","true","0","113","true","48","500","7","1","6","0","6","1"
"118","false","50","false","200","40","50","true","0","120","true","46","500","44","2","42","0","42","2"
"135","false","50","false","200","40","50","true","0","123","true","44","500","0","0","0","0","0","0"
"106","false","50","false","200","40","50","true","0","118","true","46","500","0","2","0","2","0","0"
"128","false","50","false","200","40","50","true","0","122","true","42","500","46","8","42","4","42","4"
"133","false","50","false","200","40","50","true","0","123","true","30","500","32","2","30","0","30","2"
"101","false","50","false","200","40","50","true","0","117","true","48","500","31","2","29","0","29","2"
"129","false","50","false","200","40","50","true","0","122","true","44","500","47","6","44","3","44","3"
"148","false","50","false","200","40","50","true","0","125","true","46","500","46","3","43","0","43","3"
"108","false","50","false","200","40","50","true","0","118","true","49","500","0","0","0","0","0","0"
"107","false","50","false","200","40","50","true","0","118","true","48","500","0","1","0","1","0","0"
"121","false","50","false","200","40","50","true","0","121","true","30","500","0","0","0","0","0","0"
"145","false","50","false","200","40","50","true","0","125","true","30","500","44","15","30","1","30","14"
"139","false","50","false","200","40","50","true","0","124","true","30","500","31","3","29","1","29","2"
"151","false","50","false","200","40","50","true","0","126","true","30","500","41","20","30","9","30","11"
"154","false","50","false","200","40","50","true","0","126","true","46","500","48","4","46","2","46","2"
"124","false","50","false","200","40","50","true","0","121","true","46","500","0","0","0","0","0","0"
"134","false","50","false","200","40","50","true","0","123","true","42","500","0","0","0","0","0","0"
"130","false","50","false","200","40","50","true","0","122","true","46","500","30","4","29","3","29","1"
"119","false","50","false","200","40","50","true","0","120","true","48","500","25","1","24","0","24","1"
"102","false","50","false","200","40","50","true","0","117","true","49","500","5","1","4","0","4","1"
"140","false","50","false","200","40","50","true","0","124","true","42","500","0","0","0","0","0","0"
"122","false","50","false","200","40","50","true","0","121","true","42","500","0","0","0","0","0","0"
"136","false","50","false","200","40","50","true","0","123","true","46","500","0","0","0","0","0","0"
"152","false","50","false","200","40","50","true","0","126","true","42","500","45","8","42","5","42","3"
"153","false","50","false","200","40","50","true","0","126","true","44","500","45","6","44","5","44","1"
"161","false","50","false","200","40","50","true","0","127","true","48","500","39","2","37","0","37","2"
"146","false","50","false","200","40","50","true","0","125","true","42","500","45","6","39","0","39","6"
"125","false","50","false","200","40","50","true","0","121","true","48","500","0","0","0","0","0","0"
"126","false","50","false","200","40","50","true","0","121","true","49","500","0","0","0","0","0","0"
"158","false","50","false","200","40","50","true","0","127","true","42","500","47","8","41","2","41","6"
"142","false","50","false","200","40","50","true","0","124","true","46","500","0","0","0","0","0","0"
"137","false","50","false","200","40","50","true","0","123","true","48","500","0","0","0","0","0","0"
"157","false","50","false","200","40","50","true","0","127","true","30","500","28","20","15","7","15","13"
"155","false","50","false","200","40","50","true","0","126","true","48","500","47","2","46","1","46","1"
"138","false","50","false","200","40","50","true","0","123","true","49","500","0","0","0","0","0","0"
"123","false","50","false","200","40","50","true","0","121","true","44","500","0","0","0","0","0","0"
"163","false","50","false","200","40","50","true","0","128","true","30","379","50","20","30","0","30","20"
"141","false","50","false","200","40","50","true","0","124","true","44","500","0","0","0","0","0","0"
"149","false","50","false","200","40","50","true","0","125","true","48","500","44","1","43","0","43","1"
"172","false","50","false","200","40","50","true","0","129","true","46","500","48","4","44","0","44","4"
"147","false","50","false","200","40","50","true","0","125","true","44","500","38","5","33","0","33","5"
"144","false","50","false","200","40","50","true","0","124","true","49","500","0","0","0","0","0","0"
"143","false","50","false","200","40","50","true","0","124","true","48","500","0","0","0","0","0","0"
"131","false","50","false","200","40","50","true","0","122","true","48","500","0","2","0","2","0","0"
"159","false","50","false","200","40","50","true","0","127","true","44","500","49","6","43","0","43","6"
"169","false","50","false","200","40","50","true","0","129","true","30","353","50","20","30","0","30","20"
"160","false","50","false","200","40","50","true","0","127","true","46","500","45","4","43","2","43","2"
"164","false","50","false","200","40","50","true","0","128","true","42","353","50","8","42","0","42","8"
"150","false","50","false","200","40","50","true","0","125","true","49","500","0","0","0","0","0","0"
"165","false","50","false","200","40","50","true","0","128","true","44","353","50","6","44","0","44","6"
"186","false","50","false","200","40","50","true","0","131","true","49","500","41","1","40","0","40","1"
"156","false","50","false","200","40","50","true","0","126","true","49","500","43","1","42","0","42","1"
"171","false","50","false","200","40","50","true","0","129","true","44","500","49","6","43","0","43","6"
"181","false","50","false","200","40","50","true","0","131","true","30","500","49","19","30","0","30","19"
"170","false","50","false","200","40","50","true","0","129","true","42","355","50","8","42","0","42","8"
"166","false","50","false","200","40","50","true","0","128","true","46","353","50","4","46","0","46","4"
"175","false","50","false","200","40","50","true","0","130","true","30","500","34","6","30","2","30","4"
"176","false","50","false","200","40","50","true","0","130","true","42","500","32","4","30","2","30","2"
"132","false","50","false","200","40","50","true","0","122","true","49","500","0","1","0","1","0","0"
