"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Parameterization.nlogo"
"Parameterize max turn angle"
"06/11/2024 14:08:18:285 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","Detect-Dist-Food","see-wind-arrows","pen","Size-Bird","TotalTimeSpentZigZagging","Length-Odor-Trails","ZigZagAngle","Sep-Vision-Interdependent","TimeUpWind","TimeZigZagging","N-Birds","JitterOdor","Step","minimum-separation","Detection-Distance","weight-flock-crosswind","communicate","Olfaction-Threshold","Seed","max-separate-turn","max-align-cohere-turn","[step]","((count turtles with [did-find-food = 1]) / N-Birds) * 100"
"172","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","1.5","40","458","100"
"176","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","2","40","493","100"
"167","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","1","20","500","54"
"170","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","1.5","10","500","60"
"164","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","0.5","40","500","42"
"178","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","0.5","10","500","60"
"166","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","1","10","500","56.00000000000001"
"153","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","1.5","1","500","24"
"161","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","0.5","1","500","36"
"157","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","10","2","1","500","44"
"179","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","0.5","20","500","62"
"184","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","1","40","500","80"
"165","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","1","1","500","44"
"169","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","1.5","1","500","50"
"180","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","0.5","40","500","57.99999999999999"
"171","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","1.5","20","500","62"
"192","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","2","40","479","100"
"175","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","2","20","500","64"
"177","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","0.5","1","500","50"
