"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_More Ranges"
"07/10/2024 11:00:39:945 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"92","false","50","false","200","40","50","true","0","46","true","35","500","46","11","35","0","35","11"
"117","false","50","false","200","40","50","true","0","59","true","15","500","49","35","15","1","15","34"
"82","false","50","false","200","40","50","true","0","41","true","35","500","33","1","32","0","32","1"
"111","false","50","false","200","40","50","true","0","56","true","15","500","47","35","14","2","14","33"
"137","false","50","false","200","40","50","true","0","69","true","15","500","36","21","15","0","15","21"
"128","false","50","false","200","40","50","true","0","64","true","35","500","27","14","16","3","16","11"
"123","false","50","false","200","40","50","true","0","62","true","15","500","49","35","15","1","15","34"
"132","false","50","false","200","40","50","true","0","66","true","35","500","39","15","24","0","24","15"
"115","false","50","false","200","40","50","true","0","58","true","15","500","37","23","15","1","15","22"
"66","false","50","false","200","40","50","true","0","33","true","35","500","9","8","8","7","8","1"
"134","false","50","false","200","40","50","true","0","67","true","35","500","41","10","35","4","35","6"
"94","false","50","false","200","40","50","true","0","47","true","35","500","38","6","34","2","34","4"
"76","false","50","false","200","40","50","true","0","38","true","35","500","39","15","28","4","28","11"
"74","false","50","false","200","40","50","true","0","37","true","35","500","0","3","0","3","0","0"
"106","false","50","false","200","40","50","true","0","53","true","35","500","41","6","35","0","35","6"
"139","false","50","false","200","40","50","true","0","70","true","15","500","15","5","10","0","10","5"
"138","false","50","false","200","40","50","true","0","69","true","35","500","42","7","35","0","35","7"
"125","false","50","false","200","40","50","true","0","63","true","15","500","25","34","11","20","11","14"
"148","false","50","false","200","40","50","true","0","74","true","35","500","42","13","35","6","35","7"
"149","false","50","false","200","40","50","true","0","75","true","15","500","10","35","7","32","7","3"
"151","false","50","false","200","40","50","true","0","76","true","15","500","25","33","11","19","11","14"
"118","false","50","false","200","40","50","true","0","59","true","35","500","49","15","35","1","35","14"
"110","false","50","false","200","40","50","true","0","55","true","35","500","37","15","35","13","35","2"
"142","false","50","false","200","40","50","true","0","71","true","35","500","24","10","23","9","23","1"
"129","false","50","false","200","40","50","true","0","65","true","15","500","28","17","15","4","15","13"
"159","false","50","false","200","40","50","true","0","80","true","15","500","43","29","14","0","14","29"
"154","false","50","false","200","40","50","true","0","77","true","35","500","48","15","34","1","34","14"
"163","false","50","false","200","40","50","true","0","82","true","15","500","23","20","12","9","12","11"
"167","false","50","false","200","40","50","true","0","84","true","15","500","42","33","15","6","15","27"
"160","false","50","false","200","40","50","true","0","80","true","35","500","43","9","34","0","34","9"
"162","false","50","false","200","40","50","true","0","81","true","35","500","37","4","34","1","34","3"
"135","false","50","false","200","40","50","true","0","68","true","15","500","2","18","0","16","0","2"
"122","false","50","false","200","40","50","true","0","61","true","35","500","43","13","35","5","35","8"
"145","false","50","false","200","40","50","true","0","73","true","15","500","41","26","15","0","15","26"
"169","false","50","false","200","40","50","true","0","85","true","15","500","10","21","6","17","6","4"
"141","false","50","false","200","40","50","true","0","71","true","15","500","14","23","11","20","11","3"
"147","false","50","false","200","40","50","true","0","74","true","15","500","28","25","14","11","14","14"
