"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Parameterization.nlogo"
"Parameterize Vision and Separation"
"06/11/2024 14:24:42:098 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","Detect-Dist-Food","see-wind-arrows","pen","Size-Bird","Length-Odor-Trails","N-Birds","Step","Sep-Vision-Interdependent","JitterOdor","Sep-in-crosswind","ZigZagAngle","TimeUpWind","TimeZigZagging","TotalTimeSpentZigZagging","weight-flock-crosswind","communicate","max-separate-turn","max-align-cohere-turn","Olfaction-Threshold","Seed","minimum-separation","Detection-Distance","[step]","((count turtles with [did-find-food = 1]) / N-Birds) * 100"
"25","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","5","50","449","100"
"97","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","6","20","500","88"
"39","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","1","40","500","0"
"94","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","5","40","343","100"
"93","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","5","30","349","100"
"84","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","3","40","329","100"
"101","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","7","10","500","60"
"64","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","6","40","447","100"
"106","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","1","10","500","98"
"44","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","2","40","500","0"
"102","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","7","20","413","100"
"98","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","6","30","347","100"
"89","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","4","40","321","100"
"15","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","3","50","454","100"
