BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model for Pub_v14_Cleaning.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig 4_White Chin Petrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2025 15:50:51:907 -0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,450,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],pen,see-wind-arrows,Patch-Scaler,Tick-Scaler,Total-Model-Time-In-Seconds,Size-Of-Food-Source-In-Meters,Total-Time-Spent-Trying-To-Relocate-Odor-Before-Give-Up-Seconds,Starting-Distance-From-Plume-Width-Meters,Starting-Distance-From-Plume-Length-Meters,weight-flocking,Time-Per-Turn,max-turning-radius-degrees-per-second,max-align-cohere-turn-degrees-per-second,max-separate-turn-degrees-per-second,Eddy-Diffusivity,Rate-Of-Puff-Radius-Increase,Odor-Source-Release-Rate,zig-zag-heading-offset,Denominator-For-Relationship-Between-DR-and-MinSep,Species1,S1-Dist-Food-Meters,S1-Olfaction,S1-DR,Species2,S2-Dist-Food-Meters,S2-DR,S2-Olfaction,S1-Flight-Speed-MpS,S1-Body-Length-Meters,S2-Flight-Speed-MpS,S2-Body-Length-Meters,N-Species1,Strategy,Seed,[step],(count turtles with [did-find-food = 1]),(allfoundodor),(count turtles),(count turtles with [did-find-food = 1 and species = 1]),(count turtles with [did-find-food = 1 and species = 2]),N-Species2
54,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,54,448,0,0,0,0,0,50
47,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,47,497,0,0,0,0,0,50
55,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,55,431,0,0,0,0,0,50
58,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,58,439,0,0,0,0,0,50
53,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,53,452,0,0,0,0,0,50
57,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,57,434,0,0,0,0,0,50
62,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,62,466,0,0,0,0,0,50
48,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,48,524,0,0,0,0,0,50
63,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,63,439,0,0,0,0,0,50
52,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,52,435,0,0,0,0,0,50
60,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,60,480,0,0,0,0,0,50
59,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,59,453,0,0,0,0,0,50
64,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,64,435,0,0,0,0,0,50
61,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,61,468,0,0,0,0,0,50
65,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,65,429,0,0,0,0,0,50
72,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,72,433,0,0,0,0,0,50
71,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,71,446,0,0,0,0,0,50
66,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,66,960,0,0,0,0,0,50
67,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,67,494,0,0,0,0,0,50
74,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,74,437,0,0,0,0,0,50
70,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,70,459,0,0,0,0,0,50
75,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,75,452,0,0,0,0,0,50
68,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,68,523,0,0,0,0,0,50
73,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,73,437,0,0,0,0,0,50
77,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,77,440,0,0,0,0,0,50
69,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,69,459,0,0,0,0,0,50
78,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,78,445,0,0,0,0,0,50
79,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,79,487,0,0,0,0,0,50
80,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,80,445,0,0,0,0,0,50
81,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0.8,10,50,50,1,-1,0.001,5,40,8,Set Manual,50,high,20,Set Manual,50,200,none,11.5,0.55,11.5,0.55,0,Network Foraging,81,452,0,0,0,0,0,50
