BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model for Pub_v14_Cleaning.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig 3A_v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/26/2025 11:01:48:413 -0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,450,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],pen,see-wind-arrows,Patch-Scaler,Tick-Scaler,Total-Model-Time-In-Seconds,Size-Of-Food-Source-In-Meters,Total-Time-Spent-Trying-To-Relocate-Odor-Before-Give-Up-Seconds,Starting-Distance-From-Plume-Width-Meters,Starting-Distance-From-Plume-Length-Meters,N-Species2,Species1,S1-Dist-Food-Meters,N-Species1,weight-flocking,Time-Per-Turn,max-turning-radius-degrees-per-second,max-align-cohere-turn-degrees-per-second,max-separate-turn-degrees-per-second,S1-Body-Length-Meters,Eddy-Diffusivity,Rate-Of-Puff-Radius-Increase,Odor-Source-Release-Rate,zig-zag-heading-offset,S1-Flight-Speed-MpS,Denominator-For-Relationship-Between-DR-and-MinSep,S1-DR,S1-Olfaction,Strategy,Seed,[step],(count turtles with [did-find-food = 1]),(count turtles with [did-find-food = 1 and ever-find-odor = 0]),(count turtles with [did-find-food = 1 and ever-find-odor = 1]),(allfoundodor),(count turtles)
50,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,50,963,2,0,2,2,2
38,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,38,1121,22,0,22,33,22
45,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,45,1197,16,0,16,25,16
42,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,42,1102,9,0,9,36,9
36,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,36,1194,27,0,27,45,27
54,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,54,1001,0,0,0,5,0
40,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,40,1088,13,0,13,38,13
51,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,51,1192,10,0,10,20,10
39,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,39,1025,26,0,26,41,26
43,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,43,1136,7,0,7,40,7
