"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_More Ranges"
"07/09/2024 11:17:39:349 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"137","false","50","false","200","40","50","true","0","69","true","30","500","39","9","30","0","30","9"
"120","false","50","false","200","40","50","true","0","60","true","49","500","0","0","0","0","0","0"
"129","false","50","false","200","40","50","true","0","65","true","30","500","21","10","12","1","12","9"
"133","false","50","false","200","40","50","true","0","67","true","30","500","40","13","29","2","29","11"
"114","false","50","false","200","40","50","true","0","57","true","49","500","37","1","36","0","36","1"
"139","false","50","false","200","40","50","true","0","70","true","30","500","30","3","27","0","27","3"
"143","false","50","false","200","40","50","true","0","72","true","30","500","28","18","15","5","15","13"
"118","false","50","false","200","40","50","true","0","59","true","49","500","9","1","8","0","8","1"
"144","false","50","false","200","40","50","true","0","72","true","49","500","26","1","26","1","26","0"
"112","false","50","false","200","40","50","true","0","56","true","49","500","30","1","29","0","29","1"
"100","false","50","false","200","40","50","true","0","50","true","49","500","16","1","15","0","15","1"
"87","false","50","false","200","40","50","true","0","44","true","30","500","10","3","7","0","7","3"
"135","false","50","false","200","40","50","true","0","68","true","30","500","8","1","7","0","7","1"
"122","false","50","false","200","40","50","true","0","61","true","49","500","0","1","0","1","0","0"
"134","false","50","false","200","40","50","true","0","67","true","49","500","0","0","0","0","0","0"
"147","false","50","false","200","40","50","true","0","74","true","30","500","39","17","30","8","30","9"
"151","false","50","false","200","40","50","true","0","76","true","30","500","11","18","7","14","7","4"
"157","false","50","false","200","40","50","true","0","79","true","30","500","47","19","30","2","30","17"
"140","false","50","false","200","40","50","true","0","70","true","49","500","0","0","0","0","0","0"
"145","false","50","false","200","40","50","true","0","73","true","30","500","43","13","30","0","30","13"
"155","false","50","false","200","40","50","true","0","78","true","30","500","12","7","10","5","10","2"
"141","false","50","false","200","40","50","true","0","71","true","30","500","6","17","6","17","6","0"
"124","false","50","false","200","40","50","true","0","62","true","49","500","37","1","36","0","36","1"
"153","false","50","false","200","40","50","true","0","77","true","30","500","45","20","30","5","30","15"
"149","false","50","false","200","40","50","true","0","75","true","30","500","28","20","17","9","17","11"
"128","false","50","false","200","40","50","true","0","64","true","49","500","5","1","5","1","5","0"
"132","false","50","false","200","40","50","true","0","66","true","49","500","41","1","40","0","40","1"
"163","false","50","false","200","40","50","true","0","82","true","30","500","37","10","30","3","30","7"
"167","false","50","false","200","40","50","true","0","84","true","30","500","46","19","30","3","30","16"
"88","false","50","false","200","40","50","true","0","44","true","49","500","44","1","43","0","43","1"
"175","false","50","false","200","40","50","true","0","88","true","30","500","45","18","30","3","30","15"
"162","false","50","false","200","40","50","true","0","81","true","49","500","0","0","0","0","0","0"
"150","false","50","false","200","40","50","true","0","75","true","49","500","25","1","25","1","25","0"
"177","false","50","false","200","40","50","true","0","89","true","30","500","42","17","28","3","28","14"
"165","false","50","false","200","40","50","true","0","83","true","30","500","31","19","19","7","19","12"
"136","false","50","false","200","40","50","true","0","68","true","49","500","0","0","0","0","0","0"
"159","false","50","false","200","40","50","true","0","80","true","30","500","42","13","29","0","29","13"
"130","false","50","false","200","40","50","true","0","65","true","49","500","0","0","0","0","0","0"
"168","false","50","false","200","40","50","true","0","84","true","49","500","0","1","0","1","0","0"
"110","false","50","false","200","40","50","true","0","55","true","49","500","15","1","14","0","14","1"
"148","false","50","false","200","40","50","true","0","74","true","49","500","0","0","0","0","0","0"
"126","false","50","false","200","40","50","true","0","63","true","49","500","5","1","5","1","5","0"
"171","false","50","false","200","40","50","true","0","86","true","30","500","44","20","30","6","30","14"
"146","false","50","false","200","40","50","true","0","73","true","49","500","36","1","35","0","35","1"
"158","false","50","false","200","40","50","true","0","79","true","49","500","28","1","27","0","27","1"
"173","false","50","false","200","40","50","true","0","87","true","30","500","34","6","30","2","30","4"
